appid,release_date
10,2000-11-01
20,1999-04-01
30,2003-05-01
40,2001-06-01
50,1999-11-01
60,2000-11-01
70,1998-11-08
80,2004-03-01
130,2001-06-01
220,2004-11-16
240,2004-11-01
280,2004-06-01
300,2010-07-12
320,2004-11-01
340,2005-10-27
360,2006-05-01
380,2006-06-01
400,2007-10-10
420,2007-10-10
440,2007-10-10
500,2008-11-17
550,2009-11-19
570,2013-07-09
620,2011-04-18
630,2010-07-19
730,2012-08-21
1002,2005-10-12
1200,2006-03-14
1250,2009-05-14
1300,2006-05-10
1500,2005-07-14
1510,2006-08-23
1520,2006-09-29
1530,2008-09-19
1600,2006-02-07
1610,2006-02-07
1630,2006-07-06
1640,2006-07-06
1670,2006-07-26
1690,2006-10-16
1700,2007-04-03
1840,2012-07-10
1900,2006-04-01
1930,2009-04-30
2100,2006-10-25
2200,2007-08-03
2210,2011-08-04
2270,2007-08-03
2280,2007-08-03
2290,2007-08-03
2300,2007-08-03
2310,2007-08-03
2320,2007-08-03
2330,2007-08-03
2340,2007-08-03
2350,2007-08-03
2360,2007-08-03
2370,2007-08-03
2390,2007-08-03
2400,2006-07-11
2450,2010-10-29
2500,2006-05-08
2520,2006-12-19
2590,2007-11-07
2600,2007-03-22
2610,2006-10-13
2620,2006-10-13
2630,2006-10-13
2640,2006-10-13
2710,2008-03-12
2720,2007-07-12
2780,2008-03-12
2800,2006-07-21
2810,2006-07-21
2820,2008-10-16
2840,2010-10-08
2850,2010-10-08
2870,2013-11-15
2900,2006-10-26
2910,2006-10-26
2920,2006-10-26
2990,2006-12-21
3010,2006-08-24
3020,2007-11-08
3050,2008-10-08
3130,2009-11-01
3170,2009-11-19
3230,2007-08-06
3260,2007-08-29
3270,2007-10-30
3330,2006-08-30
3410,2006-08-30
3480,2007-03-06
3483,2007-09-11
3490,2007-06-25
3500,2007-10-16
3510,2007-12-13
3520,2008-06-05
3530,2009-04-15
3540,2008-10-15
3560,2008-11-18
3570,2009-01-28
3580,2009-02-18
3590,2009-05-05
3600,2009-04-15
